fichier;soundfile;soundfile_short;decalage_first_signal;temps..s.;temps_corrected;x..m.;X.dx..m..1;y..m.;X.dy..m..1;z..m.;X.dz..m..1;fsigmax..Hz.;ID;IdTraj;Imp;D;V;CvV;height;distLight;angle;spetrum;round;Vfinal;Site;Type
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;92.58879852;152.7887985;14.74926281;0.43878448;2.722547054;0.078205034;4.20346117;0.119584553;28671.66406;20180710_104_red67;i33_46;0.46146323;0.147201538;999;999;5.15346117;19.91861052;0.441434625;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;92.73600006;152.9360001;13.60041428;0.320577592;2.847622871;0.069484867;4.258512974;0.104199193;27543.08398;20180710_104_red67;i33_47;0.344173809;0.147201538;999;999;5.208512974;18.88671489;0.632569303;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;92.87680054;153.0768005;12.72288132;0.244310036;3.021597624;0.056843054;4.408764839;0.088899322;30106.44922;20180710_104_red67;i33_48;0.26612331;0.140800476;999;999;5.358764839;18.14073606;1.133198302;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;92.99839783;153.1983978;12.00049877;0.248745203;3.159514666;0.062647521;4.538448811;0.098212756;27946.77734;20180710_104_red67;i33_49;0.274671865;0.12159729;999;999;5.488448811;17.5360541;1.596121639;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;93.14240265;153.3424027;11.05982399;0.156622425;3.326616764;0.044651009;4.687044144;0.073911309;28089.67773;20180710_104_red67;i33_50;0.178849597;0.144004822;999;999;5.637044144;16.75957747;2.178380443;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;93.28959656;153.4895966;10.15293217;0.127371535;3.487430573;0.043263823;4.870728493;0.069847129;28001.88086;20180710_104_red67;33;0.151571395;0.147193909;999;0;5.820728493;16.03248891;2.934344239;red;4;6.543593055;67;trajectory
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;93.43039703;153.630397;9.216368675;0.093360417;3.636398792;0.035295472;5.048109055;0.059987668;33195.07031;20180710_104_red67;i33_52;0.11644938;0.140800476;999;999;5.998109055;15.29650971;3.741251839;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;93.55840302;153.758403;7.900601387;0.06468191;3.627688408;0.028823931;4.723289967;0.048513748;28767.8418;20180710_104_red67;33;0.085837941;0.128005981;999;999;5.673289967;14.15129899;2.727045936;red;4;8.413134427;67;trajectory
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;93.69599915;153.8959992;7.498361111;0.053914517;3.786463976;0.027076671;5.334251404;0.047276217;27375.25391;20180710_104_red67;33;0.076648301;0.13759613;5.43997181;999;6.284251404;13.94598979;5.283711142;red;4;5.439971822;67;trajectory
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;93.94879913;154.1487991;5.900119781;0.035509571;3.971532106;0.021773051;5.639933586;0.042802699;26839.20898;20180710_104_red67;33;0.059724923;0.252799988;6.478251068;999;6.589933586;12.80958956;7.129972785;red;4;6.47825127;67;trajectory
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;94.09600067;154.2960007;4.874126911;0.024564559;4.08083725;0.018947396;5.699592113;0.037263546;27600.29102;20180710_104_red67;33;0.048487042;0.147201538;7.021137189;999;6.649592113;12.11491697;7.825821843;red;4;7.021137096;67;trajectory
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;94.22399902;154.423999;4.014118671;0.014774044;4.280344486;0.017181056;5.726461887;0.02927669;28092.47461;20180710_104_red67;33;0.037021421;0.127998352;6.900518085;999;6.676461887;11.64477253;8.277459658;red;4;6.900518196;67;trajectory
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;94.38079834;154.5807983;2.867913008;0.009017325;4.343174934;0.014852563;5.580908298;0.025246415;27431.98828;20180710_104_red67;33;0.030647875;0.156799316;7.37960814;999;6.530908298;10.91423279;8.063305203;red;4;7.379607967;67;trajectory
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;94.50240326;154.7024033;2.168191195;0.007102895;4.641077042;0.015146046;5.793029308;0.025873719;27723.08594;20180710_104_red67;33;0.030810764;0.121604919;6.492551398;999;6.743029308;10.75885432;9.323514675;red;4;6.492551369;67;trajectory
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;94.65599823;154.8559982;1.095386505;0.006417981;4.782542706;0.018395279;5.778226852;0.031400252;28747.86328;20180710_104_red67;33;0.036953384;0.153594971;7.045757618;999;6.728226852;10.2996499;9.65962399;red;4;7.045757654;67;trajectory
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;94.74240112;154.9424011;13.59631729;0.249392092;3.442109823;0.061980482;6.031054497;0.113504671;33192.50391;20180710_104_red67;33;0.280929361;0.086402893;145.5406395;0.841070038;6.981054497;19.20780981;5.919897575;red;1;999;67;trajectory
