fichier;temps..s.;x..m.;X.dx..m..1;y..m.;X.dy..m..1;z..m.;X.dz..m..1;fsigmax..Hz.;ID
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;93.43039703;9.216368675;0.093360417;3.636398792;0.035295472;5.048109055;0.059987668;33195.07031;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;93.55840302;7.900601387;0.06468191;3.627688408;0.028823931;4.723289967;0.048513748;28767.8418;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;93.69599915;7.498361111;0.053914517;3.786463976;0.027076671;5.334251404;0.047276217;27375.25391;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;93.94879913;5.900119781;0.035509571;3.971532106;0.021773051;5.639933586;0.042802699;26839.20898;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;94.09600067;4.874126911;0.024564559;4.08083725;0.018947396;5.699592113;0.037263546;27600.29102;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;94.22399902;4.014118671;0.014774044;4.280344486;0.017181056;5.726461887;0.02927669;28092.47461;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;94.38079834;2.867913008;0.009017325;4.343174934;0.014852563;5.580908298;0.025246415;27431.98828;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;94.50240326;2.168191195;0.007102895;4.641077042;0.015146046;5.793029308;0.025873719;27723.08594;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;94.65599823;1.095386505;0.006417981;4.782542706;0.018395279;5.778226852;0.031400252;28747.86328;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;94.74240112;13.59631729;0.249392092;3.442109823;0.061980482;6.031054497;0.113504671;33192.50391;20180710_104_red67
